species_1,species_2,16S,gyrB,icd,napA,narG,narK,nirB,nirK,nirS,norB
aaa,bacl,2061.5,1942.5,1204.5,1311.0,3030.0,817.5,,1255.5,,
aaa,baco,2075.5,2097.0,1195.5,1410.0,3153.0,882.0,,,,
aaa,bacp,2059.5,2025.0,1221.0,1344.0,3115.5,805.5,,1282.5,,
aaa,bacs,2056.5,2061.0,1212.0,1324.5,3109.5,787.5,,,,
aaa,bacy,2054.5,1939.5,1201.5,1305.0,3030.0,811.5,,1234.5,,
aaa,bae,2048.5,1920.0,1149.0,1296.0,2940.0,738.0,,1209.0,,
aaa,bag,2075.0,2103.0,1279.5,1527.0,3133.5,762.0,,,,
aaa,bage,2237.0,2562.0,1450.5,1720.5,4150.5,856.5,,2013.0,,
aaa,bah,1995.5,1659.0,1050.0,1026.0,2592.0,595.5,,,,
aaa,bai,1997.0,1656.0,1050.0,1195.5,2595.0,595.5,,,,
aaa,bao,2066.5,2025.0,1204.5,1353.0,3097.5,805.5,,,,
aaa,bapi,2103.5,2137.5,759.0,1654.5,3861.0,870.0,,,,
aaa,baq,2071.0,2002.5,1219.5,1359.0,3157.5,813.0,,,,
aaa,bar,1992.0,1656.0,1050.0,1026.0,2595.0,595.5,,,,
aaa,bast,1954.5,2359.5,828.0,,,,,,,
aaa,bat,1999.5,1656.0,1062.0,1195.5,2598.0,595.5,,,,
aaa,bax,2073.0,1656.0,1062.0,1026.0,2592.0,595.5,,,,
aaa,bay,2059.0,2019.0,1216.5,1333.5,3121.5,808.5,,1257.0,,
aaa,baz,2051.5,2025.0,1207.5,1353.0,3097.5,805.5,,,,
aaa,bbet,2095.5,2674.5,,,,1000.5,,2463.0,,
aaa,bbh,2552.5,3573.0,1882.5,,,,,,,
aaa,bbm,2549.5,3585.0,1882.5,,,,,,,
aaa,bbr,2552.5,3583.5,1882.5,,,,,,,
aaa,bbt,2097.0,2680.5,882.0,,,,,2517.0,,
aaa,bby,2065.0,1701.0,1035.0,1162.5,2575.5,619.5,,,,
aaa,bcad,1939.5,1906.5,751.5,,,,,,,
aaa,bce,1982.0,1689.0,1042.5,1149.0,2596.5,619.5,,,,
aaa,bcl,2087.5,2013.0,1234.5,1426.5,3088.5,834.0,,1176.0,,
aaa,bfr,1863.0,1999.5,1066.5,,,,,,,
aaa,bja,2092.0,2646.0,885.0,,,964.5,,2485.5,,
aaa,bjs,2071.0,1927.5,1180.5,1312.5,3045.0,814.5,,1195.5,,
aaa,bju,2095.0,2701.5,885.0,,,1014.0,,2446.5,,
aaa,bld,2071.0,2043.0,1290.0,1339.5,3130.5,838.5,,1284.0,,
aaa,blh,2070.5,2031.0,1263.0,1332.0,3102.0,834.0,,1266.0,,
aaa,bli,2066.0,2043.0,1278.0,1339.5,3130.5,846.0,,1284.0,,
