SampleID	Sample_Plate	Sample_Well	Nitrite_input	Nitrate_input	Ammonium_input	Soil	Soil_ID	Sample_label2	Sample_type	Titration_type	Unit	Concentration_M	Added_ul	Chloramphenicol	Cycloheximide	Time_point	Sample_label	Replicate	ReplicateID	Soil_and_pH	Time	Soil_pH	Reads_sample	Reads_ecoli	Reads_parabac	Reads_spikein	Reads_sample_only	pH	pH_micro_T0	pH_control_T9	Biomass_proxy
Soil11_SampleB32	SetB	C08	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-25	Slurry	HCl_NaOH	-25	-2.5	20	CHL	None	Soil11_T9	Soil11_C08_-25_CHL	2	Soil11_T9_Slurry_CHL_None_-25_R2	Soil11_pH6.19	T9	6.19	28723	1398	1512	2910	25813	7.294294294	4.316666667	4.426666667	8.870446735
Soil11_SampleB33	SetB	C09	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-14	Slurry	HCl_NaOH	-14	-1.4	20	CHL	None	Soil11_T9	Soil11_C09_-14_CHL	2	Soil11_T9_Slurry_CHL_None_-14_R2	Soil11_pH6.19	T9	6.19	45627	1745	2218	3963	41664	6.249249249	4.316666667	4.426666667	10.51324754
Soil11_SampleB34	SetB	C10	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-8	Slurry	HCl_NaOH	-8	-0.8	20	CHL	None	Soil11_T9	Soil11_C10_-8_CHL	2	Soil11_T9_Slurry_CHL_None_-8_R2	Soil11_pH6.19	T9	6.19	34361	1486	1794	3280	31081	5.348348348	4.316666667	4.426666667	9.475914634
Soil11_SampleB35	SetB	C11	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-3	Slurry	HCl_NaOH	-3	-0.3	20	CHL	None	Soil11_T9	Soil11_C11_-3_CHL	2	Soil11_T9_Slurry_CHL_None_-3_R2	Soil11_pH6.19	T9	6.19	59833	2824	3188	6012	53821	4.807807808	4.316666667	4.426666667	8.952262142
Soil11_SampleB36	SetB	C12	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_9	Slurry	HCl_NaOH	9	0.9	20	CHL	None	Soil11_T9	Soil11_C12_9_CHL	2	Soil11_T9_Slurry_CHL_None_9_R2	Soil11_pH6.19	T9	6.19	58635	4519	5541	10060	48575	3.846846847	4.316666667	4.426666667	4.828528827
Soil11_SampleB37	SetB	D01	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-50	Slurry	HCl_NaOH	-50	-5	20	None	None	Soil11_T9	Soil11_D01_-50_None	2	Soil11_T9_Slurry_None_None_-50_R2	Soil11_pH6.19	T9	6.19	52078	1349	1713	3062	49016	8.147147147	4.323333333	4.483333333	16.00783801
Soil11_SampleB38	SetB	D02	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-18	Slurry	HCl_NaOH	-18	-1.8	20	None	None	Soil11_T9	Soil11_D02_-18_None	2	Soil11_T9_Slurry_None_None_-18_R2	Soil11_pH6.19	T9	6.19	38768	972	1160	2132	36636	6.84	4.323333333	4.483333333	17.18386492
Soil11_SampleB39	SetB	D03	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-10	Slurry	HCl_NaOH	-10	-1	20	None	None	Soil11_T9	Soil11_D03_-10_None	2	Soil11_T9_Slurry_None_None_-10_R2	Soil11_pH6.19	T9	6.19	90663	2397	2687	5084	85579	5.888888889	4.323333333	4.483333333	16.83300551
Soil11_SampleB4	SetB	A04	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-8	Slurry	HCl_NaOH	-8	-0.8	20	None	None	Soil11_T9	Soil11_A04_-8_None	1	Soil11_T9_Slurry_None_None_-8_R1	Soil11_pH6.19	T9	6.19	30558	899	948	1847	28711	5.21	4.323333333	4.483333333	15.54466703
Soil11_SampleB40	SetB	D04	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-5	Slurry	HCl_NaOH	-5	-0.5	20	None	None	Soil11_T9	Soil11_D04_-5_None	2	Soil11_T9_Slurry_None_None_-5_R2	Soil11_pH6.19	T9	6.19	29027	875	939	1814	27213	5.12012012	4.323333333	4.483333333	15.0016538
Soil11_SampleB41	SetB	D05	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_3	Slurry	HCl_NaOH	3	0.3	20	None	None	Soil11_T9	Soil11_D05_3_None	2	Soil11_T9_Slurry_None_None_3_R2	Soil11_pH6.19	T9	6.19	21833	929	994	1923	19910	4.255255255	4.323333333	4.483333333	10.35361414
Soil11_SampleB42	SetB	D06	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_30	Slurry	HCl_NaOH	30	3	20	None	None	Soil11_T9	Soil11_D06_30_None	2	Soil11_T9_Slurry_None_None_30_R2	Soil11_pH6.19	T9	6.19	64655	11954	13801	25755	38900	3.23	4.323333333	4.483333333	1.510386333
Soil11_SampleB43	SetB	D07	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-50	Slurry	HCl_NaOH	-50	-5	20	CHL	None	Soil11_T9	Soil11_D07_-50_CHL	2	Soil11_T9_Slurry_CHL_None_-50_R2	Soil11_pH6.19	T9	6.19	40686	1755	1918	3673	37013	8.099099099	4.316666667	4.426666667	10.07704873
Soil11_SampleB44	SetB	D08	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-18	Slurry	HCl_NaOH	-18	-1.8	20	CHL	None	Soil11_T9	Soil11_D08_-18_CHL	2	Soil11_T9_Slurry_CHL_None_-18_R2	Soil11_pH6.19	T9	6.19	38517	1581	1828	3409	35108	6.777777778	4.316666667	4.426666667	10.2986213
Soil11_SampleB45	SetB	D09	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-10	Slurry	HCl_NaOH	-10	-1	20	CHL	None	Soil11_T9	Soil11_D09_-10_CHL	2	Soil11_T9_Slurry_CHL_None_-10_R2	Soil11_pH6.19	T9	6.19	67126	2812	3123	5935	61191	5.696696697	4.316666667	4.426666667	10.31019377
